symptoms,symptom_count,disease,severity
"abdominal pain, sore throat, joint pain",3,Common Cold,mild
"chest pain, fatigue",2,Common Cold,moderate
"nausea, shortness of breath, abdominal pain",3,Hypertension,moderate
"anxiety, abdominal pain, fatigue, sore throat",4,Anxiety Disorder,moderate
"chest pain, back pain",2,Anemia,mild
"nausea, joint pain, numbness, fatigue, headache",5,Diabetes,severe
"joint pain, frequent urination, numbness, fatigue, anxiety",5,Migraine,moderate
"cough, back pain, dizziness, headache, abdominal pain",5,Hypertension,mild
"joint pain, abdominal pain, cough",3,Hypothyroidism,mild
"dizziness, cough, abdominal pain, swelling, palpitations",5,Hypertension,mild
"swelling, insomnia",2,Migraine,moderate
"excessive thirst, insomnia, palpitations, nausea",4,Anemia,moderate
"insomnia, fatigue, sore throat, anxiety",4,Hypothyroidism,mild
"vomiting, nausea, insomnia, blurred vision",4,GERD,moderate
"sweating, joint pain, sore throat",3,Migraine,mild
"palpitations, blurred vision",2,Influenza,mild
"back pain, shortness of breath, fever, dizziness, weight loss",5,Anemia,severe
"cough, back pain, anxiety, numbness",4,Hypertension,moderate
"sore throat, excessive thirst",2,Anemia,mild
"palpitations, cough",2,Common Cold,mild
"headache, rash",2,GERD,mild
"frequent urination, weight loss",2,Cardiac Arrhythmia,moderate
"abdominal pain, fever, vomiting, rash, chest pain",5,Influenza,moderate
"fatigue, headache",2,Common Cold,moderate
"frequent urination, back pain",2,Hypertension,mild
"cough, blurred vision",2,Migraine,mild
"sweating, numbness",2,Influenza,mild
"nausea, anxiety",2,Cardiac Arrhythmia,mild
"anxiety, cough, excessive thirst, abdominal pain",4,GERD,mild
"shortness of breath, numbness, blurred vision",3,Diabetes,mild
"dizziness, joint pain, fever, frequent urination",4,Anemia,moderate
"abdominal pain, anxiety, fever",3,Diabetes,moderate
"frequent urination, dizziness, nausea",3,Anemia,severe
"rash, numbness, headache",3,Influenza,severe
"blurred vision, back pain",2,Influenza,mild
"nausea, dizziness, anxiety, vomiting, numbness",5,Migraine,mild
"weight loss, numbness, fever, vomiting",4,Hypothyroidism,mild
"sweating, weight loss, anxiety, nausea",4,Hypertension,moderate
